period_flag,category_raw,value
CORE,협박,33072.0
CORE,자동차 손해배상 보장법 / 여자검거인원[명],32999.0
CORE,고용보험법 / 검거인원[명],32485.0
CORE,도로법 / 발생건수[건],32140.0
CORE,도로법 / 남자검거인원[명],32084.0
CORE,건축법 / 남자검거인원[명],31518.0
CORE,권리행사방해,31328.0
CORE,조세범처벌법 / 발생건수[건],30922.0
CORE,장물,30781.0
CORE,컴퓨터등사용사기 / 검거건수[건],30660.0
CORE,도로법 / 검거건수[건],30628.0
CORE,통신매체 이용음란 / 검거인원[명],30482.0
CORE,감염병의 예방 및 관리에 관한법률 / 여자검거인원[명],30309.0
CORE,배임 / 여자검거인원[명],30045.0
CORE,도로교통법(음주측정거부) / 검거인원[명],29625.0
CORE,도로교통법(음주측정거부) / 발생건수[건],29613.0
CORE,도로교통법(음주측정거부) / 검거건수[건],29451.0
CORE,명예 / 미상검거인원[명],29387.0
CORE,"폭력행위등(손괴,강요,주거침입등) / 남자검거인원[명]",29370.0
CORE,위증과증거인멸 / 발생건수[건],29200.0
CORE,공무원범죄 / 남자검거인원[명],29042.0
CORE,위증과증거인멸,28887.0
CORE,출입국관리법 / 검거인원[명],28704.0
CORE,통신매체 이용음란 / 남자검거인원[명],28113.0
CORE,통신매체 이용음란 / 검거건수[건],28006.0
CORE,선박직원법 / 발생건수[건],27986.0
CORE,주거침입 / 여자검거인원[명],27576.0
CORE,침입절도 / 검거인원[명],27277.0
CORE,선박직원법 / 검거건수[건],27107.0
CORE,기타특별법 / 법인[개],27042.0
CORE,도로교통법(음주측정거부) / 남자검거인원[명],26818.0
CORE,업무상과실치상 / 남자검거인원[명],26761.0
CORE,의료법 / 발생건수[건],26677.0
CORE,여신전문금융업법 / 발생건수[건],26532.0
CORE,공무원범죄 / 미상검거인원[명],26455.0
CORE,도로교통법(무면허운전) / 여자검거인원[명],26399.0
CORE,컴퓨터등사용사기 / 남자검거인원[명],26284.0
CORE,산지관리법 / 검거인원[명],26223.0
CORE,조세범처벌법 / 검거건수[건],26084.0
CORE,과실치사상 / 검거인원[명],26026.0
CORE,과실치사상 / 발생건수[건],25868.0
CORE,위증과증거인멸 / 남자검거인원[명],25616.0
CORE,과실치상 / 검거인원[명],25595.0
CORE,과실치상 / 발생건수[건],25539.0
CORE,업무상과실치사상,25539.0
CORE,농수산물의 원산지표시에관한법률 / 검거건수[건],25497.0
CORE,농수산물의 원산지표시에관한법률 / 발생건수[건],25472.0
CORE,대기환경보전법 / 검거인원[명],25429.0
CORE,농수산물의 원산지표시에관한법률 / 검거인원[명],25396.0
CORE,침입절도 / 남자검거인원[명],25373.0
CORE,의료법 / 검거건수[건],25303.0
CORE,개인정보보호법 / 검거인원[명],25247.0
CORE,공연음란 / 발생건수[건],25229.0
CORE,협박 / 여자검거인원[명],25153.0
CORE,의료법 / 여자검거인원[명],25112.0
CORE,의료법 / 남자검거인원[명],25103.0
CORE,위증과증거인멸 / 검거건수[건],25083.0
CORE,산지관리법 / 발생건수[건],24665.0
CORE,산지관리법 / 검거건수[건],24397.0
CORE,대기환경보전법 / 발생건수[건],24368.0
CORE,대기환경보전법 / 검거건수[건],24271.0
CORE,직권남용 / 검거인원[명],24185.0
CORE,체포와 감금 / 검거인원[명],23956.0
CORE,화물자동차 운수사업법 / 검거인원[명],23871.0
CORE,업무상과실치상 / 발생건수[건],23693.0
