mapping_version,source,year_from,year_to,category_raw,category_std,confidence,notes
v2,NPA,2024,2025,체포,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,과실치사,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,기타,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,부당이득,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,강도살인,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,복표,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,유기치사,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,독점규제 및 공정거래에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,방화치상,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,음용수에관한죄,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,내란의죄,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,신용정보의 이용 및 보호에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,방화치사,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,일수와수리에관한죄,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,강간등살인,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,강도강간/강제추행,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,유기치상,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,체포치상,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,감금치사,TRAFFICKING,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,손괴치상,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,화재로 인한 재해보상과 보험가입에 관한법률,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,강도치상,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,인신매매,TRAFFICKING,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,강간등치사,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,강도치사,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,공무방해치사,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,국외이송,TRAFFICKING,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,농수산물의 원산지표시에관한법률,SMUGGLING,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,부녀매매,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,손괴치사,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,수수/은닉,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,"아동,청소년의 성보호에 관한법률(음란물등)",OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,"약취와 유인상해,치상,살해,치사",TRAFFICKING,HIGH,AUTO_FROM_RAW
v2,NPA,2024,2025,체포치사,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,학교보건법,OTHER,LOW,AUTO_FROM_RAW
v2,NPA,2024,2025,화재예방·소방시설설치유지 및 안전관리에 관한법률,OTHER,LOW,AUTO_FROM_RAW
